date,site,value
2021-02-01T00:00:00,ARG Kuala Kampar,96
2021-03-01T00:00:00,ARG Kuala Kampar,100
2021-04-01T00:00:00,ARG Kuala Kampar,92
2021-05-01T00:00:00,ARG Kuala Kampar,99
2021-06-01T00:00:00,ARG Kuala Kampar,100
2021-07-01T00:00:00,ARG Kuala Kampar,92
2021-08-01T00:00:00,ARG Kuala Kampar,84
2021-09-01T00:00:00,ARG Kuala Kampar,96
2021-10-01T00:00:00,ARG Kuala Kampar,92
2021-11-01T00:00:00,ARG Kuala Kampar,97
2021-12-01T00:00:00,ARG Kuala Kampar,95
2022-01-01T00:00:00,ARG Kuala Kampar,86
2022-02-01T00:00:00,ARG Kuala Kampar,92
2022-03-01T00:00:00,ARG Kuala Kampar,80
2022-04-01T00:00:00,ARG Kuala Kampar,88
2022-05-01T00:00:00,ARG Kuala Kampar,99
2022-06-01T00:00:00,ARG Kuala Kampar,83
2022-07-01T00:00:00,ARG Kuala Kampar,52
2022-08-01T00:00:00,ARG Kuala Kampar,0
2022-09-01T00:00:00,ARG Kuala Kampar,0
2022-10-01T00:00:00,ARG Kuala Kampar,0
2022-11-01T00:00:00,ARG Kuala Kampar,0
2022-12-01T00:00:00,ARG Kuala Kampar,50
2023-01-01T00:00:00,ARG Kuala Kampar,57
2023-02-01T00:00:00,ARG Kuala Kampar,81
2023-03-01T00:00:00,ARG Kuala Kampar,68
2023-04-01T00:00:00,ARG Kuala Kampar,82
2023-05-01T00:00:00,ARG Kuala Kampar,83
2023-06-01T00:00:00,ARG Kuala Kampar,60
2023-07-01T00:00:00,ARG Kuala Kampar,81
2023-08-01T00:00:00,ARG Kuala Kampar,77
2023-09-01T00:00:00,ARG Kuala Kampar,56
2023-10-01T00:00:00,ARG Kuala Kampar,68
2023-11-01T00:00:00,ARG Kuala Kampar,50
2023-12-01T00:00:00,ARG Kuala Kampar,96
2024-01-01T00:00:00,ARG Kuala Kampar,93
2024-02-01T00:00:00,ARG Kuala Kampar,86
2024-03-01T00:00:00,ARG Kuala Kampar,83
2024-04-01T00:00:00,ARG Kuala Kampar,99
2024-05-01T00:00:00,ARG Kuala Kampar,94
2024-06-01T00:00:00,ARG Kuala Kampar,83
2024-07-01T00:00:00,ARG Kuala Kampar,93
2024-08-01T00:00:00,ARG Kuala Kampar,97
2024-09-01T00:00:00,ARG Kuala Kampar,88
2024-10-01T00:00:00,ARG Kuala Kampar,86
2024-11-01T00:00:00,ARG Kuala Kampar,88
2024-12-01T00:00:00,ARG Kuala Kampar,86
2025-01-01T00:00:00,ARG Kuala Kampar,95
2025-02-01T00:00:00,ARG Kuala Kampar,95
2025-03-01T00:00:00,ARG Kuala Kampar,96
2025-04-01T00:00:00,ARG Kuala Kampar,77
2025-05-01T00:00:00,ARG Kuala Kampar,98
2025-06-01T00:00:00,ARG Kuala Kampar,98
2025-07-01T00:00:00,ARG Kuala Kampar,97
2025-08-01T00:00:00,ARG Kuala Kampar,98
2025-09-01T00:00:00,ARG Kuala Kampar,98
2025-10-01T00:00:00,ARG Kuala Kampar,98
2025-11-01T00:00:00,ARG Kuala Kampar,0
2025-12-01T00:00:00,ARG Kuala Kampar,0
2026-01-01T00:00:00,ARG Kuala Kampar,0
2021-02-01T00:00:00,ARG Minas,95
2021-03-01T00:00:00,ARG Minas,99
2021-04-01T00:00:00,ARG Minas,99
2021-05-01T00:00:00,ARG Minas,99
2021-06-01T00:00:00,ARG Minas,100
2021-07-01T00:00:00,ARG Minas,88
2021-08-01T00:00:00,ARG Minas,84
2021-09-01T00:00:00,ARG Minas,98
2021-10-01T00:00:00,ARG Minas,100
2021-11-01T00:00:00,ARG Minas,98
2021-12-01T00:00:00,ARG Minas,99
2022-01-01T00:00:00,ARG Minas,89
2022-02-01T00:00:00,ARG Minas,100
2022-03-01T00:00:00,ARG Minas,100
2022-04-01T00:00:00,ARG Minas,100
2022-05-01T00:00:00,ARG Minas,100
2022-06-01T00:00:00,ARG Minas,100
2022-07-01T00:00:00,ARG Minas,100
2022-08-01T00:00:00,ARG Minas,100
2022-09-01T00:00:00,ARG Minas,99
2022-10-01T00:00:00,ARG Minas,97
2022-11-01T00:00:00,ARG Minas,100
2022-12-01T00:00:00,ARG Minas,99
2023-01-01T00:00:00,ARG Minas,96
2023-02-01T00:00:00,ARG Minas,79
2023-03-01T00:00:00,ARG Minas,88
2023-04-01T00:00:00,ARG Minas,34
2023-05-01T00:00:00,ARG Minas,1
2023-06-01T00:00:00,ARG Minas,8
2023-07-01T00:00:00,ARG Minas,98
2023-08-01T00:00:00,ARG Minas,97
2023-09-01T00:00:00,ARG Minas,99
2023-10-01T00:00:00,ARG Minas,100
2023-11-01T00:00:00,ARG Minas,99
2023-12-01T00:00:00,ARG Minas,99
2024-01-01T00:00:00,ARG Minas,100
2024-02-01T00:00:00,ARG Minas,100
2024-03-01T00:00:00,ARG Minas,100
2024-04-01T00:00:00,ARG Minas,99
2024-05-01T00:00:00,ARG Minas,99
2024-06-01T00:00:00,ARG Minas,95
2024-07-01T00:00:00,ARG Minas,100
2024-08-01T00:00:00,ARG Minas,100
2024-09-01T00:00:00,ARG Minas,100
2024-10-01T00:00:00,ARG Minas,97
2024-11-01T00:00:00,ARG Minas,100
2024-12-01T00:00:00,ARG Minas,99
2025-01-01T00:00:00,ARG Minas,99
2025-02-01T00:00:00,ARG Minas,99
2025-03-01T00:00:00,ARG Minas,100
2025-04-01T00:00:00,ARG Minas,100
2025-05-01T00:00:00,ARG Minas,82
2025-06-01T00:00:00,ARG Minas,100
2025-07-01T00:00:00,ARG Minas,100
2025-08-01T00:00:00,ARG Minas,100
2025-09-01T00:00:00,ARG Minas,100
2025-10-01T00:00:00,ARG Minas,100
2025-11-01T00:00:00,ARG Minas,0
2025-12-01T00:00:00,ARG Minas,0
2026-01-01T00:00:00,ARG Minas,0
2021-02-01T00:00:00,ARG Pusako,96
2021-03-01T00:00:00,ARG Pusako,100
2021-04-01T00:00:00,ARG Pusako,100
2021-05-01T00:00:00,ARG Pusako,100
2021-06-01T00:00:00,ARG Pusako,97
2021-07-01T00:00:00,ARG Pusako,99
2021-08-01T00:00:00,ARG Pusako,99
2021-09-01T00:00:00,ARG Pusako,99
2021-10-01T00:00:00,ARG Pusako,97
2021-11-01T00:00:00,ARG Pusako,99
2021-12-01T00:00:00,ARG Pusako,99
2022-01-01T00:00:00,ARG Pusako,92
2022-02-01T00:00:00,ARG Pusako,99
2022-03-01T00:00:00,ARG Pusako,99
2022-04-01T00:00:00,ARG Pusako,98
2022-05-01T00:00:00,ARG Pusako,99
2022-06-01T00:00:00,ARG Pusako,99
2022-07-01T00:00:00,ARG Pusako,97
2022-08-01T00:00:00,ARG Pusako,90
2022-09-01T00:00:00,ARG Pusako,96
2022-10-01T00:00:00,ARG Pusako,100
2022-11-01T00:00:00,ARG Pusako,100
2022-12-01T00:00:00,ARG Pusako,98
2023-01-01T00:00:00,ARG Pusako,100
2023-02-01T00:00:00,ARG Pusako,100
2023-03-01T00:00:00,ARG Pusako,100
2023-04-01T00:00:00,ARG Pusako,100
2023-05-01T00:00:00,ARG Pusako,100
2023-06-01T00:00:00,ARG Pusako,100
2023-07-01T00:00:00,ARG Pusako,100
2023-08-01T00:00:00,ARG Pusako,93
2023-09-01T00:00:00,ARG Pusako,100
2023-10-01T00:00:00,ARG Pusako,100
2023-11-01T00:00:00,ARG Pusako,100
2023-12-01T00:00:00,ARG Pusako,43
2024-01-01T00:00:00,ARG Pusako,83
2024-02-01T00:00:00,ARG Pusako,100
2024-03-01T00:00:00,ARG Pusako,100
2024-04-01T00:00:00,ARG Pusako,87
2024-05-01T00:00:00,ARG Pusako,84
2024-06-01T00:00:00,ARG Pusako,83
2024-07-01T00:00:00,ARG Pusako,84
2024-08-01T00:00:00,ARG Pusako,66
2024-09-01T00:00:00,ARG Pusako,89
2024-10-01T00:00:00,ARG Pusako,94
2024-11-01T00:00:00,ARG Pusako,99
2024-12-01T00:00:00,ARG Pusako,91
2025-01-01T00:00:00,ARG Pusako,93
2025-02-01T00:00:00,ARG Pusako,67
2025-03-01T00:00:00,ARG Pusako,51
2025-04-01T00:00:00,ARG Pusako,100
2025-05-01T00:00:00,ARG Pusako,76
2025-06-01T00:00:00,ARG Pusako,2
2025-07-01T00:00:00,ARG Pusako,0
2025-08-01T00:00:00,ARG Pusako,57
2025-09-01T00:00:00,ARG Pusako,94
2025-10-01T00:00:00,ARG Pusako,93
2025-11-01T00:00:00,ARG Pusako,0
2025-12-01T00:00:00,ARG Pusako,0
2026-01-01T00:00:00,ARG Pusako,0
2021-02-01T00:00:00,ARG Tandun,92
2021-03-01T00:00:00,ARG Tandun,98
2021-04-01T00:00:00,ARG Tandun,90
2021-05-01T00:00:00,ARG Tandun,98
2021-06-01T00:00:00,ARG Tandun,93
2021-07-01T00:00:00,ARG Tandun,91
2021-08-01T00:00:00,ARG Tandun,85
2021-09-01T00:00:00,ARG Tandun,85
2021-10-01T00:00:00,ARG Tandun,89
2021-11-01T00:00:00,ARG Tandun,95
2021-12-01T00:00:00,ARG Tandun,96
2022-01-01T00:00:00,ARG Tandun,85
2022-02-01T00:00:00,ARG Tandun,100
2022-03-01T00:00:00,ARG Tandun,98
2022-04-01T00:00:00,ARG Tandun,96
2022-05-01T00:00:00,ARG Tandun,83
2022-06-01T00:00:00,ARG Tandun,1
2022-07-01T00:00:00,ARG Tandun,1
2022-08-01T00:00:00,ARG Tandun,80
2022-09-01T00:00:00,ARG Tandun,99
2022-10-01T00:00:00,ARG Tandun,92
2022-11-01T00:00:00,ARG Tandun,100
2022-12-01T00:00:00,ARG Tandun,93
2023-01-01T00:00:00,ARG Tandun,98
2023-02-01T00:00:00,ARG Tandun,99
2023-03-01T00:00:00,ARG Tandun,87
2023-04-01T00:00:00,ARG Tandun,82
2023-05-01T00:00:00,ARG Tandun,86
2023-06-01T00:00:00,ARG Tandun,89
2023-07-01T00:00:00,ARG Tandun,86
2023-08-01T00:00:00,ARG Tandun,88
2023-09-01T00:00:00,ARG Tandun,92
2023-10-01T00:00:00,ARG Tandun,99
2023-11-01T00:00:00,ARG Tandun,99
2023-12-01T00:00:00,ARG Tandun,98
2024-01-01T00:00:00,ARG Tandun,100
2024-02-01T00:00:00,ARG Tandun,99
2024-03-01T00:00:00,ARG Tandun,100
2024-04-01T00:00:00,ARG Tandun,100
2024-05-01T00:00:00,ARG Tandun,82
2024-06-01T00:00:00,ARG Tandun,100
2024-07-01T00:00:00,ARG Tandun,100
2024-08-01T00:00:00,ARG Tandun,100
2024-09-01T00:00:00,ARG Tandun,100
2024-10-01T00:00:00,ARG Tandun,87
2024-11-01T00:00:00,ARG Tandun,92
2024-12-01T00:00:00,ARG Tandun,100
2025-01-01T00:00:00,ARG Tandun,100
2025-02-01T00:00:00,ARG Tandun,99
2025-03-01T00:00:00,ARG Tandun,98
2025-04-01T00:00:00,ARG Tandun,79
2025-05-01T00:00:00,ARG Tandun,81
2025-06-01T00:00:00,ARG Tandun,100
2025-07-01T00:00:00,ARG Tandun,100
2025-08-01T00:00:00,ARG Tandun,99
2025-09-01T00:00:00,ARG Tandun,100
2025-10-01T00:00:00,ARG Tandun,100
2025-11-01T00:00:00,ARG Tandun,0
2025-12-01T00:00:00,ARG Tandun,0
2026-01-01T00:00:00,ARG Tandun,0
2021-02-01T00:00:00,ARG Tambusai,0
2021-03-01T00:00:00,ARG Tambusai,8
2021-04-01T00:00:00,ARG Tambusai,8
2021-05-01T00:00:00,ARG Tambusai,0
2021-06-01T00:00:00,ARG Tambusai,19
2021-07-01T00:00:00,ARG Tambusai,99
2021-08-01T00:00:00,ARG Tambusai,100
2021-09-01T00:00:00,ARG Tambusai,99
2021-10-01T00:00:00,ARG Tambusai,99
2021-11-01T00:00:00,ARG Tambusai,99
2021-12-01T00:00:00,ARG Tambusai,100
2022-01-01T00:00:00,ARG Tambusai,93
2022-02-01T00:00:00,ARG Tambusai,100
2022-03-01T00:00:00,ARG Tambusai,100
2022-04-01T00:00:00,ARG Tambusai,99
2022-05-01T00:00:00,ARG Tambusai,100
2022-06-01T00:00:00,ARG Tambusai,99
2022-07-01T00:00:00,ARG Tambusai,97
2022-08-01T00:00:00,ARG Tambusai,99
2022-09-01T00:00:00,ARG Tambusai,100
2022-10-01T00:00:00,ARG Tambusai,100
2022-11-01T00:00:00,ARG Tambusai,100
2022-12-01T00:00:00,ARG Tambusai,100
2023-01-01T00:00:00,ARG Tambusai,100
2023-02-01T00:00:00,ARG Tambusai,100
2023-03-01T00:00:00,ARG Tambusai,73
2023-04-01T00:00:00,ARG Tambusai,52
2023-05-01T00:00:00,ARG Tambusai,55
2023-06-01T00:00:00,ARG Tambusai,21
2023-07-01T00:00:00,ARG Tambusai,95
2023-08-01T00:00:00,ARG Tambusai,67
2023-09-01T00:00:00,ARG Tambusai,84
2023-10-01T00:00:00,ARG Tambusai,100
2023-11-01T00:00:00,ARG Tambusai,98
2023-12-01T00:00:00,ARG Tambusai,78
2024-01-01T00:00:00,ARG Tambusai,98
2024-02-01T00:00:00,ARG Tambusai,95
2024-03-01T00:00:00,ARG Tambusai,99
2024-04-01T00:00:00,ARG Tambusai,75
2024-05-01T00:00:00,ARG Tambusai,85
2024-06-01T00:00:00,ARG Tambusai,86
2024-07-01T00:00:00,ARG Tambusai,100
2024-08-01T00:00:00,ARG Tambusai,99
2024-09-01T00:00:00,ARG Tambusai,100
2024-10-01T00:00:00,ARG Tambusai,91
2024-11-01T00:00:00,ARG Tambusai,78
2024-12-01T00:00:00,ARG Tambusai,100
2025-01-01T00:00:00,ARG Tambusai,100
2025-02-01T00:00:00,ARG Tambusai,99
2025-03-01T00:00:00,ARG Tambusai,97
2025-04-01T00:00:00,ARG Tambusai,72
2025-05-01T00:00:00,ARG Tambusai,67
2025-06-01T00:00:00,ARG Tambusai,95
2025-07-01T00:00:00,ARG Tambusai,92
2025-08-01T00:00:00,ARG Tambusai,72
2025-09-01T00:00:00,ARG Tambusai,100
2025-10-01T00:00:00,ARG Tambusai,100
2025-11-01T00:00:00,ARG Tambusai,0
2025-12-01T00:00:00,ARG Tambusai,0
2026-01-01T00:00:00,ARG Tambusai,0
2021-02-01T00:00:00,ARG Kandis,100
2021-03-01T00:00:00,ARG Kandis,100
2021-04-01T00:00:00,ARG Kandis,89
2021-05-01T00:00:00,ARG Kandis,98
2021-06-01T00:00:00,ARG Kandis,100
2021-07-01T00:00:00,ARG Kandis,94
2021-08-01T00:00:00,ARG Kandis,86
2021-09-01T00:00:00,ARG Kandis,99
2021-10-01T00:00:00,ARG Kandis,99
2021-11-01T00:00:00,ARG Kandis,99
2021-12-01T00:00:00,ARG Kandis,100
2022-01-01T00:00:00,ARG Kandis,91
2022-02-01T00:00:00,ARG Kandis,99
2022-03-01T00:00:00,ARG Kandis,100
2022-04-01T00:00:00,ARG Kandis,100
2022-05-01T00:00:00,ARG Kandis,100
2022-06-01T00:00:00,ARG Kandis,100
2022-07-01T00:00:00,ARG Kandis,98
2022-08-01T00:00:00,ARG Kandis,99
2022-09-01T00:00:00,ARG Kandis,99
2022-10-01T00:00:00,ARG Kandis,99
2022-11-01T00:00:00,ARG Kandis,100
2022-12-01T00:00:00,ARG Kandis,99
2023-01-01T00:00:00,ARG Kandis,99
2023-02-01T00:00:00,ARG Kandis,99
2023-03-01T00:00:00,ARG Kandis,96
2023-04-01T00:00:00,ARG Kandis,100
2023-05-01T00:00:00,ARG Kandis,88
2023-06-01T00:00:00,ARG Kandis,31
2023-07-01T00:00:00,ARG Kandis,99
2023-08-01T00:00:00,ARG Kandis,95
2023-09-01T00:00:00,ARG Kandis,96
2023-10-01T00:00:00,ARG Kandis,99
2023-11-01T00:00:00,ARG Kandis,100
2023-12-01T00:00:00,ARG Kandis,99
2024-01-01T00:00:00,ARG Kandis,95
2024-02-01T00:00:00,ARG Kandis,99
2024-03-01T00:00:00,ARG Kandis,100
2024-04-01T00:00:00,ARG Kandis,100
2024-05-01T00:00:00,ARG Kandis,100
2024-06-01T00:00:00,ARG Kandis,100
2024-07-01T00:00:00,ARG Kandis,100
2024-08-01T00:00:00,ARG Kandis,100
2024-09-01T00:00:00,ARG Kandis,91
2024-10-01T00:00:00,ARG Kandis,50
2024-11-01T00:00:00,ARG Kandis,43
2024-12-01T00:00:00,ARG Kandis,44
2025-01-01T00:00:00,ARG Kandis,79
2025-02-01T00:00:00,ARG Kandis,35
2025-03-01T00:00:00,ARG Kandis,40
2025-04-01T00:00:00,ARG Kandis,91
2025-05-01T00:00:00,ARG Kandis,1
2025-06-01T00:00:00,ARG Kandis,0
2025-07-01T00:00:00,ARG Kandis,24
2025-08-01T00:00:00,ARG Kandis,100
2025-09-01T00:00:00,ARG Kandis,53
2025-10-01T00:00:00,ARG Kandis,43
2025-11-01T00:00:00,ARG Kandis,0
2025-12-01T00:00:00,ARG Kandis,0
2026-01-01T00:00:00,ARG Kandis,0
2021-02-01T00:00:00,ARG Tanah Putih,100
2021-03-01T00:00:00,ARG Tanah Putih,100
2021-04-01T00:00:00,ARG Tanah Putih,90
2021-05-01T00:00:00,ARG Tanah Putih,98
2021-06-01T00:00:00,ARG Tanah Putih,99
2021-07-01T00:00:00,ARG Tanah Putih,93
2021-08-01T00:00:00,ARG Tanah Putih,82
2021-09-01T00:00:00,ARG Tanah Putih,98
2021-10-01T00:00:00,ARG Tanah Putih,99
2021-11-01T00:00:00,ARG Tanah Putih,98
2021-12-01T00:00:00,ARG Tanah Putih,99
2022-01-01T00:00:00,ARG Tanah Putih,90
2022-02-01T00:00:00,ARG Tanah Putih,99
2022-03-01T00:00:00,ARG Tanah Putih,99
2022-04-01T00:00:00,ARG Tanah Putih,98
2022-05-01T00:00:00,ARG Tanah Putih,90
2022-06-01T00:00:00,ARG Tanah Putih,0
2022-07-01T00:00:00,ARG Tanah Putih,0
2022-08-01T00:00:00,ARG Tanah Putih,0
2022-09-01T00:00:00,ARG Tanah Putih,0
2022-10-01T00:00:00,ARG Tanah Putih,33
2022-11-01T00:00:00,ARG Tanah Putih,100
2022-12-01T00:00:00,ARG Tanah Putih,98
2023-01-01T00:00:00,ARG Tanah Putih,100
2023-02-01T00:00:00,ARG Tanah Putih,100
2023-03-01T00:00:00,ARG Tanah Putih,96
2023-04-01T00:00:00,ARG Tanah Putih,100
2023-05-01T00:00:00,ARG Tanah Putih,99
2023-06-01T00:00:00,ARG Tanah Putih,99
2023-07-01T00:00:00,ARG Tanah Putih,100
2023-08-01T00:00:00,ARG Tanah Putih,99
2023-09-01T00:00:00,ARG Tanah Putih,100
2023-10-01T00:00:00,ARG Tanah Putih,100
2023-11-01T00:00:00,ARG Tanah Putih,100
2023-12-01T00:00:00,ARG Tanah Putih,100
2024-01-01T00:00:00,ARG Tanah Putih,100
2024-02-01T00:00:00,ARG Tanah Putih,100
2024-03-01T00:00:00,ARG Tanah Putih,100
2024-04-01T00:00:00,ARG Tanah Putih,100
2024-05-01T00:00:00,ARG Tanah Putih,100
2024-06-01T00:00:00,ARG Tanah Putih,100
2024-07-01T00:00:00,ARG Tanah Putih,100
2024-08-01T00:00:00,ARG Tanah Putih,100
2024-09-01T00:00:00,ARG Tanah Putih,100
2024-10-01T00:00:00,ARG Tanah Putih,96
2024-11-01T00:00:00,ARG Tanah Putih,100
2024-12-01T00:00:00,ARG Tanah Putih,100
2025-01-01T00:00:00,ARG Tanah Putih,100
2025-02-01T00:00:00,ARG Tanah Putih,99
2025-03-01T00:00:00,ARG Tanah Putih,100
2025-04-01T00:00:00,ARG Tanah Putih,99
2025-05-01T00:00:00,ARG Tanah Putih,100
2025-06-01T00:00:00,ARG Tanah Putih,100
2025-07-01T00:00:00,ARG Tanah Putih,100
2025-08-01T00:00:00,ARG Tanah Putih,100
2025-09-01T00:00:00,ARG Tanah Putih,100
2025-10-01T00:00:00,ARG Tanah Putih,56
2025-11-01T00:00:00,ARG Tanah Putih,0
2025-12-01T00:00:00,ARG Tanah Putih,0
2026-01-01T00:00:00,ARG Tanah Putih,0
2021-02-01T00:00:00,ARG Bantan,49
2021-03-01T00:00:00,ARG Bantan,79
2021-04-01T00:00:00,ARG Bantan,100
2021-05-01T00:00:00,ARG Bantan,96
2021-06-01T00:00:00,ARG Bantan,94
2021-07-01T00:00:00,ARG Bantan,91
2021-08-01T00:00:00,ARG Bantan,21
2021-09-01T00:00:00,ARG Bantan,0
2021-10-01T00:00:00,ARG Bantan,35
2021-11-01T00:00:00,ARG Bantan,21
2021-12-01T00:00:00,ARG Bantan,17
2022-01-01T00:00:00,ARG Bantan,5
2022-02-01T00:00:00,ARG Bantan,0
2022-03-01T00:00:00,ARG Bantan,33
2022-04-01T00:00:00,ARG Bantan,45
2022-05-01T00:00:00,ARG Bantan,99
2022-06-01T00:00:00,ARG Bantan,100
2022-07-01T00:00:00,ARG Bantan,100
2022-08-01T00:00:00,ARG Bantan,100
2022-09-01T00:00:00,ARG Bantan,100
2022-10-01T00:00:00,ARG Bantan,100
2022-11-01T00:00:00,ARG Bantan,100
2022-12-01T00:00:00,ARG Bantan,98
2023-01-01T00:00:00,ARG Bantan,99
2023-02-01T00:00:00,ARG Bantan,100
2023-03-01T00:00:00,ARG Bantan,96
2023-04-01T00:00:00,ARG Bantan,99
2023-05-01T00:00:00,ARG Bantan,95
2023-06-01T00:00:00,ARG Bantan,99
2023-07-01T00:00:00,ARG Bantan,99
2023-08-01T00:00:00,ARG Bantan,99
2023-09-01T00:00:00,ARG Bantan,91
2023-10-01T00:00:00,ARG Bantan,100
2023-11-01T00:00:00,ARG Bantan,94
2023-12-01T00:00:00,ARG Bantan,84
2024-01-01T00:00:00,ARG Bantan,100
2024-02-01T00:00:00,ARG Bantan,100
2024-03-01T00:00:00,ARG Bantan,100
2024-04-01T00:00:00,ARG Bantan,100
2024-05-01T00:00:00,ARG Bantan,100
2024-06-01T00:00:00,ARG Bantan,100
2024-07-01T00:00:00,ARG Bantan,100
2024-08-01T00:00:00,ARG Bantan,100
2024-09-01T00:00:00,ARG Bantan,100
2024-10-01T00:00:00,ARG Bantan,96
2024-11-01T00:00:00,ARG Bantan,100
2024-12-01T00:00:00,ARG Bantan,96
2025-01-01T00:00:00,ARG Bantan,98
2025-02-01T00:00:00,ARG Bantan,97
2025-03-01T00:00:00,ARG Bantan,100
2025-04-01T00:00:00,ARG Bantan,100
2025-05-01T00:00:00,ARG Bantan,100
2025-06-01T00:00:00,ARG Bantan,100
2025-07-01T00:00:00,ARG Bantan,100
2025-08-01T00:00:00,ARG Bantan,100
2025-09-01T00:00:00,ARG Bantan,100
2025-10-01T00:00:00,ARG Bantan,100
2025-11-01T00:00:00,ARG Bantan,0
2025-12-01T00:00:00,ARG Bantan,0
2026-01-01T00:00:00,ARG Bantan,0
2021-02-01T00:00:00,ARG Siak,100
2021-03-01T00:00:00,ARG Siak,100
2021-04-01T00:00:00,ARG Siak,89
2021-05-01T00:00:00,ARG Siak,100
2021-06-01T00:00:00,ARG Siak,100
2021-07-01T00:00:00,ARG Siak,93
2021-08-01T00:00:00,ARG Siak,86
2021-09-01T00:00:00,ARG Siak,99
2021-10-01T00:00:00,ARG Siak,99
2021-11-01T00:00:00,ARG Siak,99
2021-12-01T00:00:00,ARG Siak,100
2022-01-01T00:00:00,ARG Siak,90
2022-02-01T00:00:00,ARG Siak,62
2022-03-01T00:00:00,ARG Siak,34
2022-04-01T00:00:00,ARG Siak,99
2022-05-01T00:00:00,ARG Siak,99
2022-06-01T00:00:00,ARG Siak,99
2022-07-01T00:00:00,ARG Siak,98
